name,district,address,latitude,longitude,phone,google_maps_place_id,source
"Government Veterinary Hospital, Villivakkam",Chennai,"1st Main Rd, Rajamangalam, Villivakkam, Chennai, Tamil Nadu 600049",13.1125361,80.2049775,,ChIJKXr1pGhkUjoRfikWxb3JsAM,Google Places
"Madras Veterinary Hospital (Vepery)",Chennai,"34, Vepery High Rd, Periamet, Vepery, Choolai, Chennai, Tamil Nadu 600007",13.0853728,80.2665692,+91 44 2566 5566,ChIJmSc7PJZlUjoRSczXE5vkVks,Google Places
"Govt. Veterinary Hospital, Mugalivakkam",Chennai,"Ramakrishna Nagar, Mugalivakkam, Chennai, Tamil Nadu 600116",13.0265108,80.1566356,,ChIJqzvNgeRgUjoRH83AhqZ7UXo,Google Places
"Government Veterinary Hospital, Poonamallee",Chennai,"Kandaswamy Nagar Extension, Poonamallee, Chennai, Tamil Nadu 600056",13.0494727,80.1057012,+91 90801 95911,ChIJNUZnRdxhUjoRjhVIxpe5lsM,Google Places
"Government Veterinary Clinic, Perambur",Chennai,"Tiru Vi Ka Nagar, Perambur, Chennai, Tamil Nadu 600011",13.1209096,80.2335850,,ChIJIX_ISkZlUjoRX29qzIUCicw,Google Places
"Government Veterinary Polyclinic, Town Hall",Coimbatore,"162, Ismail St, Town Hall, Coimbatore, Tamil Nadu 641001",10.9961275,76.9631959,+91 422 239 7614,ChIJu54TFgpZqDsRhAL_75nLQjQ,Google Places
"Government Veterinary Hospital, Villankurichi",Coimbatore,"Villankurichi, Coimbatore, Tamil Nadu 641035",11.0688169,77.0165004,+91 93641 37284,ChIJx1nTgAT4qDsRxQECnh3Mqvo,Google Places
"Government Veterinary Hospital, Vellakinar",Coimbatore,"MDR877, Vellakinar Village, Coimbatore, Tamil Nadu 641029",11.0755435,76.9524679,,ChIJj6v3miD3qDsR04CgbGsem6M,Google Places
"Government Veterinary Hospital, Thudiyalur",Coimbatore,"TNP Nagar, Thudiyalur, Tamil Nadu 641017",11.0830396,76.9425090,,ChIJuwLZxkH2qDsRk72D8xh45jw,Google Places
"Government Veterinary Hospital, Sundarapuram",Coimbatore,"Sundarapuram, Coimbatore, Tamil Nadu 641024",10.9549473,76.9727190,,ChIJ9RZUoG5bqDsRpgZ16ju1dQA,Google Places
"Government Veterinary Polyclinic, Alwarpuram",Madurai,"Opp. Government Swimming Pool, Alwarpuram, Tallakulam, Tamil Nadu 625020",9.9313960,78.1398470,,ChIJxTsDSbnFADsR_TQm7H6Nf04,Google Places
"Government Veterinary Hospital, Thiruparankundram",Madurai,"TCE Avaniyapuram Rd, Thiruparankundram, Madurai, Tamil Nadu 625015",9.8854709,78.0768930,,ChIJlVjrIcbPADsRTQGbEb9qF-g,Google Places
"Tamilnadu Government Veterinary Hospital, Palanganatham",Madurai,"Madakulam Main Rd, Palanganatham, Madurai, Tamil Nadu 625003",9.9054100,78.0934700,,ChIJzYIYXJnPADsRlWPbVYWuLPc,Google Places
"Government Veterinary Dispensary, Mahalipatti",Madurai,"Rani Ponnammal Road, Keerathurai, Mahalipatti, Madurai, Tamil Nadu 625001",9.9081561,78.1266610,+91 85310 33494,ChIJOW8xtnbFADsRA5zOoUWuggw,Google Places
"Government Veterinary Hospital, Kulamangalam",Madurai,"Kulamangalam Main Rd, Kulamangalam II, Madurai, Tamil Nadu 625017",9.9992560,78.1180500,,ChIJcT7o6izGADsRhr3UrRdmwqY,Google Places
"Government Veterinary Polyclinic, Trichy",Tiruchirappalli,"Malligaipuram Thottam, Palakarai, Sangillyandapuram, Tiruchirappalli, Tamil Nadu 620008",10.8121929,78.6953820,,ChIJGTIkowb1qjsRVq1WMX-5MA8,Google Places
"Government Veterinary Hospital and Pet Clinic, Gundur",Tiruchirappalli,"Gundur, Tamil Nadu 620007",10.7359126,78.7170833,,ChIJ02fANgCLqjsR1L0Woo5sUSU,Google Places
"Government Veterinary Clinic, MM Nagar",Tiruchirappalli,"1190c, Vayalur Rd, MM Nagar, Uyyakondan Thirumalai, Tiruchirappalli, Tamil Nadu 620102",10.8151343,78.6605145,,ChIJDVo8QcT1qjsRGeCDAHlPwWk,Google Places
"Government Veterinary Dispensary, K.Sathanur",Tiruchirappalli,"Palani Nagar, Sathanur, K K Nagar, Tiruchirappalli, Tamil Nadu 620021",10.7557364,78.6825947,,ChIJU9oB1caKqjsR89s6uFfi9wM,Google Places
"Government Veterinary Polyclinic, Sankar Nagar",Salem,"Sankar Nagar, Salem, Tamil Nadu 636001",11.6576071,78.1561975,,ChIJ5YW3zMzxqzsROotKgsryfcU,Google Places
"Government Veterinary Hospital, MittaAyyamperumalpatti",Salem,"Ashok Nagar Rd, Iiyam Karadu, Gorimedu, Kondappanaickenpatti, Salem, Tamil Nadu 636008",11.7124730,78.1699552,,ChIJVxild1fxqzsR2YLEaCGAIao,Google Places
"Government Veterinary Hospital, Narasothipatti",Salem,"Omalur Main Rd, Narasothipatti, Salem, Tamil Nadu 636004",11.6809131,78.1289050,,ChIJr_gMs2bwqzsRnNGoT7cK6Ys,Google Places
"Government Veterinary Hospital, Attur",Salem,"Salem - Cuddalore Main Rd, Udayarpalayam, Attur, Salem, Tamil Nadu 636102",11.6004041,78.5906786,,ChIJ05QnOUKcqzsRrQYGs6y_08g,Google Places
"Government Veterinary Hospital, Kamalapuram",Salem,"Kamalapuram, Tamil Nadu 636309",11.7681310,78.0618016,,ChIJXex0Yw_5qzsRGy5ubFDISdE,Google Places
"Veterinary Dispensary, Thirunagar",Tirunelveli,"SH 40, Thirunagar, Tirunelveli Junction, Tirunelveli, Tamil Nadu 627001",8.7283717,77.7037079,,ChIJxy-W34MRBDsR4bDeVXFX9FQ,Google Places
"Government Veterinary Hospital, Shanthi Nagar",Tirunelveli,"Shanthi Nagar, Tirunelveli, Tamil Nadu 627353",8.7318556,77.7475706,,ChIJ12n-q0kPBDsRv5p17QcMuPs,Google Places
"Veterinary Hospital, VCRI Tirunelveli",Tirunelveli,"Ramayanpatti, Tamil Nadu 627358",8.7719181,77.6799919,+91 462 233 6347,ChIJSaPr3OYQBDsRgkwAeC2QGHE,Google Places
"Veterinary Polyclinic, Sripuram",Tirunelveli,"30, Swami Nellaiappar High Rd, Sripuram, Thirunagar, Tirunelveli Junction, Tirunelveli, Tamil Nadu 627001",8.7288875,77.7040965,,ChIJmbPkJkcRBDsRO2TqRMVTxqA,Google Places
"Government Veterinary Hospital, Thottapalayam",Vellore,"Railway Level Crossing, Bangalore Rd, Kansalpet 2, Thottapalayam, Vellore, Tamil Nadu 632008",12.9244000,79.1251996,,ChIJ2zHUwbg4rTsRA9TnuLWMLSc,Google Places
"Government Veterinary Hospital",Erode,"Surampattivalasu, Erode, Tamil Nadu 638001",11.3367067,77.7279502,,ChIJ8YqIiUFvqTsRtz1_xFjtzu4,Google Places
"Government Veterinary Hospital, Nachipalayam",Tiruppur,"SH-172, Tiruppur Padiyur Road, Nachipalayam, Tiruppur, Tamil Nadu 641606",11.0846504,77.4460044,,ChIJh78f4d0JqTsRX2XTIYMhoYA,Google Places
"Government Veterinary Hospital, Sircar Periapalayam",Tiruppur,"Sircar Periapalayam, Tamil Nadu 641607",11.1320780,77.4127230,,ChIJ-bJpoIkJqTsR-kANSyoNSEI,Google Places
"Government Veterinary Hospital, 15 Velampalayam",Tiruppur,"Velampalayam, Tiruppur, Tamil Nadu 641652",11.1438334,77.3085165,,ChIJc9hpFr4GqTsRemlKIlgzD7I,Google Places
"Veterinary Hospital, Puspa Nagar",Tiruppur,"Puspa Nagar, Tiruppur, Tamil Nadu 641604",11.0986171,77.3492415,,ChIJ2z4b-k8HqTsRYvX--NELFyw,Google Places
"Government Veterinary Hospital, Vellampatti",Tiruppur,"North Avanashipalayam, Tamil Nadu 641665",10.9929791,77.4165928,,ChIJgfqEZLinqTsRzzgMfChVg8c,Google Places
"Government Veterinary Polyclinic, Sundram Nagar",Thanjavur,"3/85, Sundram Nagar, Melavelithottam, Thanjavur, Tamil Nadu 613004",10.7831871,79.1047150,,ChIJdRZpQyS_qjsRfDUf3b1nPzc,Google Places
"Govt Veterinary Hospital, Mendonsa Colony",Dindigul,"Mendonsa Colony, Dindigul, Tamil Nadu 624003",10.3578401,77.9824058,,ChIJs65JkWmrADsRJF_idrGmQRE,Google Places
"Government Veterinary Polyclinic, Meenakshipuram",Kanyakumari,"Pound Rd, Meenakshipuram, Vadiveeswaram Village, Nagercoil, Tamil Nadu 629002",8.1796211,77.4372657,,ChIJe5xl4DzxBDsRpF_0U9hDuRw,Google Places
"Govt Veterinary Hospital, Kurunthancode",Kanyakumari,"Kurunthancode A, Tamil Nadu 629802",8.1781636,77.3372206,,ChIJ-_yoETT6BDsRHuwo5_GBbbU,Google Places
"Veterinary Hospital, Pudupalayam",Cuddalore,"Pudupalayam, Cuddalore, Tamil Nadu 607001",11.7475306,79.7696232,,ChIJLXvX4ViYVDoRU9cgZjrQ2WM,Google Places
"Government Veterinary Hospital, Karaikkadu",Cuddalore,"Kannarapettai, Karaikkadu, Tamil Nadu 607003",11.6906960,79.7396587,,ChIJueF32H69VDoRn6tp-vS66n8,Google Places
"Government Veterinary Hospital, K K Nagar",Villupuram,"K K Nagar, Viluppuram, Tamil Nadu 605602",11.9368577,79.4977942,,ChIJi61hO_lXUzoRg3xV0MWhy4Y,Google Places
"Government Veterinary Hospital, Radhapuram",Villupuram,"SH-203, Mundiyampakkam Puducherry road, Radhapuram, Vikravandi, Viluppuram, Tamil Nadu 605501",11.9999352,79.5890877,,ChIJcQRqiERaUzoRCZFFWUUHp0Y,Google Places
